wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;14325;3.73;709;200;509;26065;14648;218542;95608;15956;78346;1306;t0000;2021-12-29
dolnoœl¹skie;boles³awiecki;36;4.00;0;0;0;68;42;548;214;41;167;6;t0201;2021-12-29
dolnoœl¹skie;dzier¿oniowski;57;5.67;0;0;0;59;23;572;244;63;180;1;t0202;2021-12-29
dolnoœl¹skie;g³ogowski;25;2.81;0;0;0;40;27;462;219;26;191;2;t0203;2021-12-29
dolnoœl¹skie;górowski;8;2.31;1;1;0;25;20;229;79;8;71;0;t0204;2021-12-29
dolnoœl¹skie;jaworski;23;4.61;2;1;1;23;31;321;115;25;89;1;t0205;2021-12-29
dolnoœl¹skie;jeleniogórski;13;2.05;1;0;1;43;22;354;96;14;82;0;t0206;2021-12-29
dolnoœl¹skie;kamiennogórski;10;2.32;0;0;0;19;2;184;70;12;58;0;t0207;2021-12-29
dolnoœl¹skie;k³odzki;53;3.37;1;0;1;73;13;781;300;55;241;4;t0208;2021-12-29
dolnoœl¹skie;legnicki;21;3.80;0;0;0;43;27;416;126;29;92;5;t0209;2021-12-29
dolnoœl¹skie;lubañski;20;3.70;1;1;0;41;19;262;73;23;46;4;t0210;2021-12-29
dolnoœl¹skie;lubiñski;70;6.60;6;0;6;80;25;589;429;77;343;9;t0211;2021-12-29
dolnoœl¹skie;lwówecki;10;2.18;1;1;0;41;21;179;102;13;88;1;t0212;2021-12-29
dolnoœl¹skie;milicki;17;4.61;1;1;0;16;23;274;58;18;40;0;t0213;2021-12-29
dolnoœl¹skie;oleœnicki;53;4.94;0;0;0;47;47;720;221;60;159;2;t0214;2021-12-29
dolnoœl¹skie;o³awski;41;5.34;0;0;0;34;39;622;198;44;151;3;t0215;2021-12-29
dolnoœl¹skie;polkowicki;10;1.59;0;0;0;51;9;438;99;12;86;1;t0216;2021-12-29
dolnoœl¹skie;strzeliñski;12;2.76;1;1;0;38;18;326;74;13;61;0;t0217;2021-12-29
dolnoœl¹skie;œredzki;20;3.61;1;1;0;58;12;534;108;21;84;3;t0218;2021-12-29
dolnoœl¹skie;œwidnicki;79;5.05;9;0;9;68;38;928;348;82;256;10;t0219;2021-12-29
dolnoœl¹skie;trzebnicki;36;4.22;0;0;0;79;22;594;183;44;136;3;t0220;2021-12-29
dolnoœl¹skie;wa³brzyski;11;1.99;0;0;0;33;16;233;96;11;84;1;t0221;2021-12-29
dolnoœl¹skie;wo³owski;17;3.64;0;0;0;33;24;302;123;19;104;0;t0222;2021-12-29
dolnoœl¹skie;wroc³awski;77;5.00;0;0;0;124;108;1168;394;85;301;8;t0223;2021-12-29
dolnoœl¹skie;z¹bkowicki;19;2.95;0;0;0;23;8;245;100;19;81;0;t0224;2021-12-29
dolnoœl¹skie;zgorzelecki;57;6.42;0;0;0;53;25;608;182;61;113;8;t0225;2021-12-29
dolnoœl¹skie;z³otoryjski;6;1.39;0;0;0;26;19;236;54;6;48;0;t0226;2021-12-29
dolnoœl¹skie;Jelenia Góra;21;2.67;1;0;1;54;37;366;161;24;136;1;t0261;2021-12-29
dolnoœl¹skie;Legnica;51;5.15;1;1;0;56;70;793;287;55;224;8;t0262;2021-12-29
dolnoœl¹skie;Wroc³aw;408;6.34;5;5;0;499;379;4496;1951;443;1489;19;t0264;2021-12-29
dolnoœl¹skie;Wa³brzych;41;3.71;0;0;0;63;33;477;228;44;182;2;t0265;2021-12-29
kujawsko-pomorskie;aleksandrowski;9;1.64;0;0;0;27;10;209;105;10;94;1;t0401;2021-12-29
kujawsko-pomorskie;brodnicki;15;1.90;5;0;5;56;15;353;125;18;107;0;t0402;2021-12-29
kujawsko-pomorskie;bydgoski;58;4.86;1;0;1;126;78;810;314;60;248;6;t0403;2021-12-29
kujawsko-pomorskie;che³miñski;11;2.12;0;0;0;43;33;257;128;28;98;2;t0404;2021-12-29
kujawsko-pomorskie;golubsko-dobrzyñski;10;2.22;1;0;1;33;5;174;82;13;68;1;t0405;2021-12-29
kujawsko-pomorskie;grudzi¹dzki;17;4.23;9;8;1;40;26;291;136;18;115;3;t0406;2021-12-29
kujawsko-pomorskie;inowroc³awski;70;4.39;7;0;7;177;79;876;414;72;340;2;t0407;2021-12-29
kujawsko-pomorskie;lipnowski;6;0.91;2;0;2;19;15;229;129;6;122;1;t0408;2021-12-29
kujawsko-pomorskie;mogileñski;9;1.98;0;0;0;46;23;322;69;11;58;0;t0409;2021-12-29
kujawsko-pomorskie;nakielski;34;3.94;1;0;1;60;35;576;152;35;115;2;t0410;2021-12-29
kujawsko-pomorskie;radziejowski;9;2.24;0;0;0;31;19;205;62;9;53;0;t0411;2021-12-29
kujawsko-pomorskie;rypiñski;12;2.76;0;0;0;41;18;146;96;12;83;1;t0412;2021-12-29
kujawsko-pomorskie;sêpoleñski;20;4.89;0;0;0;29;37;247;113;21;89;3;t0413;2021-12-29
kujawsko-pomorskie;œwiecki;36;3.64;2;0;2;72;53;600;281;38;237;6;t0414;2021-12-29
kujawsko-pomorskie;toruñski;41;3.76;3;1;2;98;66;594;264;43;218;3;t0415;2021-12-29
kujawsko-pomorskie;tucholski;24;4.97;1;0;1;23;33;376;141;34;103;4;t0416;2021-12-29
kujawsko-pomorskie;w¹brzeski;6;1.76;0;0;0;20;24;168;47;7;40;0;t0417;2021-12-29
kujawsko-pomorskie;w³oc³awski;39;4.54;3;0;3;49;24;477;126;40;84;2;t0418;2021-12-29
kujawsko-pomorskie;¿niñski;22;3.14;1;0;1;46;20;354;241;32;203;6;t0419;2021-12-29
kujawsko-pomorskie;Bydgoszcz;140;4.04;8;1;7;251;207;1936;890;165;704;21;t0461;2021-12-29
kujawsko-pomorskie;Grudzi¹dz;40;4.25;8;7;1;86;36;489;236;42;191;3;t0462;2021-12-29
kujawsko-pomorskie;Toruñ;73;3.63;11;5;6;142;112;996;542;76;463;3;t0463;2021-12-29
kujawsko-pomorskie;W³oc³awek;18;1.65;4;0;4;67;45;469;151;20;130;1;t0464;2021-12-29
lubelskie;bialski;15;1.36;7;2;5;37;10;285;211;17;193;1;t0601;2021-12-29
lubelskie;bi³gorajski;17;1.69;1;0;1;37;28;286;168;19;149;0;t0602;2021-12-29
lubelskie;che³mski;12;1.54;0;0;0;39;9;271;120;14;105;1;t0603;2021-12-29
lubelskie;hrubieszowski;15;2.40;3;0;3;29;27;205;89;16;73;0;t0604;2021-12-29
lubelskie;janowski;9;1.98;0;0;0;32;13;160;118;10;107;1;t0605;2021-12-29
lubelskie;krasnostawski;13;2.07;2;0;2;24;12;199;109;15;92;2;t0606;2021-12-29
lubelskie;kraœnicki;10;1.05;1;0;1;36;17;178;152;10;142;0;t0607;2021-12-29
lubelskie;lubartowski;14;1.59;1;1;0;47;2;254;167;17;150;0;t0608;2021-12-29
lubelskie;lubelski;36;2.31;2;2;0;111;59;768;326;41;283;2;t0609;2021-12-29
lubelskie;³êczyñski;10;1.75;1;0;1;49;16;264;122;10;112;0;t0610;2021-12-29
lubelskie;³ukowski;17;1.59;0;0;0;31;15;302;171;19;151;1;t0611;2021-12-29
lubelskie;opolski;8;1.36;1;0;1;17;10;121;77;9;68;0;t0612;2021-12-29
lubelskie;parczewski;0;0;0;0;0;19;2;80;49;1;48;0;t0613;2021-12-29
lubelskie;pu³awski;32;2.84;3;1;2;112;21;422;257;33;224;0;t0614;2021-12-29
lubelskie;radzyñski;6;1.02;0;0;0;12;6;121;103;6;97;0;t0615;2021-12-29
lubelskie;rycki;17;3.04;0;0;0;55;11;267;123;17;100;6;t0616;2021-12-29
lubelskie;œwidnicki;23;3.21;0;0;0;84;18;288;152;28;123;1;t0617;2021-12-29
lubelskie;tomaszowski;10;1.21;1;0;1;35;26;262;99;11;87;1;t0618;2021-12-29
lubelskie;w³odawski;1;0.26;0;0;0;21;1;68;77;1;76;0;t0619;2021-12-29
lubelskie;zamojski;26;2.46;2;0;2;52;32;412;168;27;139;2;t0620;2021-12-29
lubelskie;Bia³a Podlaska;15;2.62;1;0;1;34;8;140;175;17;158;0;t0661;2021-12-29
lubelskie;Che³m;12;1.95;0;0;0;49;22;277;139;13;126;0;t0662;2021-12-29
lubelskie;Lublin;104;3.06;5;1;4;313;140;1462;965;108;853;4;t0663;2021-12-29
lubelskie;Zamoœæ;20;3.16;2;0;2;38;22;240;125;20;101;4;t0664;2021-12-29
lubuskie;gorzowski;30;4.16;1;0;1;40;46;490;148;34;109;5;t0801;2021-12-29
lubuskie;kroœnieñski;29;5.30;0;0;0;45;13;487;118;31;87;0;t0802;2021-12-29
lubuskie;miêdzyrzecki;31;5.40;2;2;0;40;21;459;159;34;124;1;t0803;2021-12-29
lubuskie;nowosolski;44;5.12;1;1;0;57;46;610;282;44;237;1;t0804;2021-12-29
lubuskie;s³ubicki;19;4.05;0;0;0;31;17;355;112;22;89;1;t0805;2021-12-29
lubuskie;strzelecko-drezdenecki;27;5.53;3;2;1;33;7;276;124;34;89;1;t0806;2021-12-29
lubuskie;sulêciñski;12;3.42;2;2;0;26;20;348;97;21;76;0;t0807;2021-12-29
lubuskie;œwiebodziñski;33;5.93;1;1;0;56;42;587;169;33;136;0;t0808;2021-12-29
lubuskie;zielonogórski;41;5.42;0;0;0;52;28;585;189;47;142;0;t0809;2021-12-29
lubuskie;¿agañski;24;3.05;1;0;1;60;10;374;146;25;113;8;t0810;2021-12-29
lubuskie;¿arski;37;3.86;1;1;0;54;21;496;202;39;159;4;t0811;2021-12-29
lubuskie;wschowski;6;1.55;0;0;0;11;9;115;48;6;42;0;t0812;2021-12-29
lubuskie;Gorzów Wielkopolski;44;3.57;3;0;3;68;73;662;264;50;209;5;t0861;2021-12-29
lubuskie;Zielona Góra;57;4.03;0;0;0;111;62;953;395;61;330;4;t0862;2021-12-29
³ódzkie;be³chatowski;39;3.46;5;0;5;64;49;632;235;42;190;3;t1001;2021-12-29
³ódzkie;kutnowski;38;3.95;0;0;0;62;23;398;207;41;163;3;t1002;2021-12-29
³ódzkie;³aski;9;1.81;0;0;0;19;19;255;82;9;73;0;t1003;2021-12-29
³ódzkie;³êczycki;21;4.24;1;0;1;41;23;297;203;22;179;2;t1004;2021-12-29
³ódzkie;³owicki;31;3.98;0;0;0;45;40;373;155;37;118;0;t1005;2021-12-29
³ódzkie;³ódzki wschodni;30;4.14;2;2;0;59;36;403;208;36;168;4;t1006;2021-12-29
³ódzkie;opoczyñski;11;1.45;0;0;0;45;9;233;141;18;122;1;t1007;2021-12-29
³ódzkie;pabianicki;48;4.03;6;0;6;96;44;648;378;55;320;3;t1008;2021-12-29
³ódzkie;pajêczañski;16;3.13;2;0;2;32;21;319;108;24;83;1;t1009;2021-12-29
³ódzkie;piotrkowski;22;2.41;0;0;0;43;33;535;231;27;204;0;t1010;2021-12-29
³ódzkie;poddêbicki;2;0.49;1;0;1;12;15;182;45;2;43;0;t1011;2021-12-29
³ódzkie;radomszczañski;53;4.72;2;0;2;70;33;602;272;58;209;5;t1012;2021-12-29
³ódzkie;rawski;17;3.50;0;0;0;33;10;291;119;19;97;3;t1013;2021-12-29
³ódzkie;sieradzki;41;3.49;1;0;1;61;38;538;198;43;154;1;t1014;2021-12-29
³ódzkie;skierniewicki;4;1.05;0;0;0;14;18;193;47;4;43;0;t1015;2021-12-29
³ódzkie;tomaszowski;30;2.58;1;0;1;57;34;493;261;35;225;1;t1016;2021-12-29
³ódzkie;wieluñski;24;3.15;0;0;0;52;34;531;233;42;187;4;t1017;2021-12-29
³ódzkie;wieruszowski;8;1.90;0;0;0;13;2;158;50;10;39;1;t1018;2021-12-29
³ódzkie;zduñskowolski;27;4.08;1;0;1;49;35;347;155;31;124;0;t1019;2021-12-29
³ódzkie;zgierski;60;3.61;3;0;3;111;90;1035;401;63;336;2;t1020;2021-12-29
³ódzkie;brzeziñski;10;3.25;0;0;0;20;14;178;69;11;57;1;t1021;2021-12-29
³ódzkie;£ódŸ;285;4.21;9;8;1;619;380;4012;2354;323;2008;23;t1061;2021-12-29
³ódzkie;Piotrków Trybunalski;16;2.20;1;1;0;31;32;269;202;16;184;2;t1062;2021-12-29
³ódzkie;Skierniewice;9;1.88;1;1;0;52;24;307;94;11;83;0;t1063;2021-12-29
ma³opolskie;bocheñski;41;3.83;0;0;0;76;17;619;188;45;134;9;t1201;2021-12-29
ma³opolskie;brzeski;31;3.33;0;0;0;50;25;381;186;33;153;0;t1202;2021-12-29
ma³opolskie;chrzanowski;20;1.61;2;2;0;92;66;811;242;21;217;4;t1203;2021-12-29
ma³opolskie;d¹browski;30;5.07;1;1;0;21;22;250;107;32;74;1;t1204;2021-12-29
ma³opolskie;gorlicki;21;1.93;1;0;1;40;16;480;153;22;126;5;t1205;2021-12-29
ma³opolskie;krakowski;196;6.99;4;1;3;232;92;2375;941;211;708;22;t1206;2021-12-29
ma³opolskie;limanowski;17;1.29;2;1;1;57;32;486;188;21;162;5;t1207;2021-12-29
ma³opolskie;miechowski;20;4.11;3;3;0;46;15;312;80;23;56;1;t1208;2021-12-29
ma³opolskie;myœlenicki;39;3.05;1;0;1;61;45;755;190;40;146;4;t1209;2021-12-29
ma³opolskie;nowos¹decki;54;2.49;6;6;0;69;53;740;332;56;272;4;t1210;2021-12-29
ma³opolskie;nowotarski;37;1.93;5;1;4;71;34;449;279;42;223;14;t1211;2021-12-29
ma³opolskie;olkuski;66;5.95;1;0;1;102;38;786;242;69;169;4;t1212;2021-12-29
ma³opolskie;oœwiêcimski;46;3.00;8;0;8;93;44;923;265;47;217;1;t1213;2021-12-29
ma³opolskie;proszowicki;20;4.63;1;0;1;40;8;302;77;22;54;1;t1214;2021-12-29
ma³opolskie;suski;29;3.44;1;0;1;48;30;436;214;35;174;5;t1215;2021-12-29
ma³opolskie;tarnowski;57;2.83;0;0;0;88;27;916;331;69;260;2;t1216;2021-12-29
ma³opolskie;tatrzañski;11;1.61;2;1;1;15;4;266;128;13;112;3;t1217;2021-12-29
ma³opolskie;wadowicki;54;3.38;4;0;4;96;39;882;277;58;214;5;t1218;2021-12-29
ma³opolskie;wielicki;64;4.92;2;2;0;94;58;1064;320;69;238;13;t1219;2021-12-29
ma³opolskie;Kraków;631;8.08;12;4;8;723;366;5789;3147;694;2395;58;t1261;2021-12-29
ma³opolskie;Nowy S¹cz;31;3.70;4;2;2;40;26;307;167;36;124;7;t1262;2021-12-29
ma³opolskie;Tarnów;40;3.70;0;0;0;57;28;455;256;47;200;9;t1263;2021-12-29
mazowieckie;bia³obrzeski;8;2.40;0;0;0;32;2;166;45;9;36;0;t1401;2021-12-29
mazowieckie;ciechanowski;23;2.58;0;0;0;63;38;476;182;27;153;2;t1402;2021-12-29
mazowieckie;garwoliñski;19;1.74;0;0;0;52;12;452;239;23;215;1;t1403;2021-12-29
mazowieckie;gostyniñski;6;1.34;0;0;0;28;9;225;100;8;90;2;t1404;2021-12-29
mazowieckie;grodziski;50;5.17;0;0;0;89;67;792;330;53;276;1;t1405;2021-12-29
mazowieckie;grójecki;29;2.95;2;1;1;59;19;923;191;33;155;3;t1406;2021-12-29
mazowieckie;kozienicki;8;1.34;5;0;5;33;8;322;109;10;99;0;t1407;2021-12-29
mazowieckie;legionowski;76;6.37;1;1;0;103;41;992;405;88;311;6;t1408;2021-12-29
mazowieckie;lipski;9;2.67;1;0;1;20;2;87;63;11;50;2;t1409;2021-12-29
mazowieckie;³osicki;6;1.96;0;0;0;7;2;91;68;7;61;0;t1410;2021-12-29
mazowieckie;makowski;4;0.90;2;2;0;21;8;185;49;4;45;0;t1411;2021-12-29
mazowieckie;miñski;64;4.13;3;3;0;112;46;1018;349;75;265;9;t1412;2021-12-29
mazowieckie;m³awski;10;1.38;2;0;2;37;11;437;121;13;106;2;t1413;2021-12-29
mazowieckie;nowodworski;35;4.41;2;2;0;49;47;582;196;39;155;2;t1414;2021-12-29
mazowieckie;ostro³êcki;11;1.24;0;0;0;28;15;307;75;12;63;0;t1415;2021-12-29
mazowieckie;ostrowski;7;0.97;0;0;0;24;15;194;87;8;79;0;t1416;2021-12-29
mazowieckie;otwocki;61;4.90;0;0;0;114;69;822;341;69;270;2;t1417;2021-12-29
mazowieckie;piaseczyñski;104;5.49;0;0;0;124;62;1580;692;109;574;9;t1418;2021-12-29
mazowieckie;p³ocki;43;3.88;1;1;0;66;33;521;230;46;180;4;t1419;2021-12-29
mazowieckie;p³oñski;17;1.96;0;0;0;36;29;412;182;21;160;1;t1420;2021-12-29
mazowieckie;pruszkowski;60;3.60;2;1;1;126;47;1302;500;68;429;3;t1421;2021-12-29
mazowieckie;przasnyski;2;0.38;2;0;2;26;20;249;39;2;37;0;t1422;2021-12-29
mazowieckie;przysuski;8;1.93;0;0;0;21;2;162;73;9;61;3;t1423;2021-12-29
mazowieckie;pu³tuski;10;1.93;0;0;0;33;7;368;86;10;75;1;t1424;2021-12-29
mazowieckie;radomski;27;1.77;0;0;0;71;27;725;247;30;213;4;t1425;2021-12-29
mazowieckie;siedlecki;7;0.86;1;0;1;20;21;402;107;10;97;0;t1426;2021-12-29
mazowieckie;sierpecki;10;1.93;0;0;0;47;17;263;104;11;93;0;t1427;2021-12-29
mazowieckie;sochaczewski;37;4.35;0;0;0;130;40;780;268;43;221;4;t1428;2021-12-29
mazowieckie;soko³owski;7;1.31;0;0;0;17;4;181;75;9;66;0;t1429;2021-12-29
mazowieckie;szyd³owiecki;6;1.52;0;0;0;24;1;143;61;7;53;1;t1430;2021-12-29
mazowieckie;warszawski zachodni;47;3.93;2;2;0;105;54;996;372;55;312;5;t1432;2021-12-29
mazowieckie;wêgrowski;9;1.37;2;0;2;29;10;185;93;9;81;3;t1433;2021-12-29
mazowieckie;wo³omiñski;82;3.26;5;0;5;165;89;1708;543;88;443;12;t1434;2021-12-29
mazowieckie;wyszkowski;24;3.23;2;1;1;54;16;355;122;27;91;4;t1435;2021-12-29
mazowieckie;zwoleñski;3;0.83;1;0;1;18;4;158;44;4;39;1;t1436;2021-12-29
mazowieckie;¿uromiñski;10;2.61;0;0;0;23;6;201;93;10;83;0;t1437;2021-12-29
mazowieckie;¿yrardowski;13;1.72;1;1;0;54;16;487;177;15;159;3;t1438;2021-12-29
mazowieckie;Ostro³êka;4;0.77;0;0;0;24;10;138;76;5;68;3;t1461;2021-12-29
mazowieckie;P³ock;32;2.69;4;3;1;90;50;581;282;43;235;4;t1462;2021-12-29
mazowieckie;Radom;47;2.23;0;0;0;97;52;759;409;51;350;8;t1463;2021-12-29
mazowieckie;Siedlce;15;1.92;2;0;2;35;21;247;134;17;117;0;t1464;2021-12-29
mazowieckie;Warszawa;832;4.64;35;0;35;1061;957;12999;6451;933;5433;85;t1465;2021-12-29
opolskie;brzeski;36;4.02;10;4;6;67;27;651;189;41;140;8;t1601;2021-12-29
opolskie;g³ubczycki;28;6.18;1;0;1;40;12;285;138;32;101;5;t1602;2021-12-29
opolskie;kêdzierzyñsko-kozielski;47;5.02;1;1;0;65;97;790;184;53;128;3;t1603;2021-12-29
opolskie;kluczborski;24;3.68;1;0;1;35;21;376;130;25;102;3;t1604;2021-12-29
opolskie;krapkowicki;45;7.08;1;0;1;39;28;371;186;49;137;0;t1605;2021-12-29
opolskie;namys³owski;29;6.79;0;0;0;33;9;408;107;32;73;2;t1606;2021-12-29
opolskie;nyski;60;4.43;4;1;3;69;35;749;367;66;295;6;t1607;2021-12-29
opolskie;oleski;28;4.36;1;0;1;34;17;436;139;28;111;0;t1608;2021-12-29
opolskie;opolski;54;4.36;14;1;13;79;53;954;309;58;245;6;t1609;2021-12-29
